Year,Date,Date 2,Classification,Race Name,Winner,
2017,1,17.01 - 22.01,17.01,2.UWT,Santos Tour Down Under,PORTE Richie
2017,1,29.01,29.01,1.UWT,Cadel Evans Great Ocean Road Race,ARNDT Nikias
2017,1,23.02 - 26.02,23.02,2.UWT,Abu Dhabi Tour,COSTA Rui
2017,1,25.02,25.02,1.UWT,Omloop Het Nieuwsblad ME,VAN AVERMAET Greg
2017,1,04.03,04.03,1.UWT,Strade Bianche,KWIATKOWSKI Michał
2017,1,05.03 - 12.03,05.03,2.UWT,Paris - Nice,HENAO Sergio
2017,1,08.03 - 14.03,08.03,2.UWT,Tirreno-Adriatico,QUINTANA Nairo
2017,1,18.03,18.03,1.UWT,Milano-Sanremo,KWIATKOWSKI Michał
2017,1,20.03 - 26.03,20.03,2.UWT,Volta Ciclista a Catalunya,VALVERDE Alejandro
2017,1,22.03,22.03,1.UWT,Dwars door Vlaanderen / A travers la Flandre ME,LAMPAERT Yves
2017,1,24.03,24.03,1.UWT,Record Bank E3 Harelbeke,VAN AVERMAET Greg
2017,1,26.03,26.03,1.UWT,Gent-Wevelgem in Flanders Fields ME,VAN AVERMAET Greg
2017,1,02.04,02.04,1.UWT,Ronde van Vlaanderen / Tour des Flandres ME,GILBERT Philippe
2017,1,03.04 - 08.04,03.04,2.UWT,Vuelta al País Vasco,VALVERDE Alejandro
2017,1,09.04,09.04,1.UWT,Paris-Roubaix,VAN AVERMAET Greg
2017,1,16.04,16.04,1.UWT,Amstel Gold Race,GILBERT Philippe
2017,1,19.04,19.04,1.UWT,La Flèche Wallonne,VALVERDE Alejandro
2017,1,23.04,23.04,1.UWT,Liège - Bastogne - Liège,VALVERDE Alejandro
2017,1,25.04 - 30.04,25.04,2.UWT,Tour de Romandie,PORTE Richie
2017,1,01.05,01.05,1.UWT,Eschborn-Frankfurt 'Rund um den Finanzplatz',KRISTOFF Alexander
2017,1,05.05 - 28.05,05.05,2.UWT,Giro d'Italia,DUMOULIN Tom
2017,1,14.05 - 20.05,14.05,2.UWT,Amgen Tour of California,BENNETT George
2017,1,04.06 - 11.06,04.06,2.UWT,Critérium du Dauphiné,FUGLSANG Jakob
2017,1,10.06 - 18.06,10.06,2.UWT,Tour de Suisse,ŠPILAK Simon
2017,1,01.07 - 23.07,01.07,2.UWT,Tour de France,FROOME Chris
2017,1,29.07,29.07,1.UWT,Clásica Ciclista San Sebastian,KWIATKOWSKI Michał
2017,1,29.07 - 04.08,29.07,2.UWT,Tour de Pologne,TEUNS Dylan
2017,1,30.07,30.07,1.UWT,Prudential RideLondon-Surrey Classic,KRISTOFF Alexander
2017,1,07.08 - 13.08,07.08,2.UWT,BinckBank Tour,DUMOULIN Tom
2017,1,19.08 - 10.09,19.08,2.UWT,Vuelta a España,FROOME Chris
2017,1,20.08,20.08,1.UWT,Cyclassics Hamburg,VIVIANI Elia
2017,1,27.08,27.08,1.UWT,Bretagne Classic - Ouest-France,VIVIANI Elia
2017,1,08.09,08.09,1.UWT,Grand Prix Cycliste de Québec,SAGAN Peter
