Race,Won How
2020 Strade Bianche,12.5 km solo
2021 Strade Bianche,0.5 km solo
2022 Strade Bianche,49.2 km solo
2023 Strade Bianche,23.3 km solo
2017 Strade Bianche,15.6 km solo
2018 Strade Bianche,12.3 km solo
2019 Strade Bianche,Sprint à deux
2020 Ronde van Vlaanderen,Sprint à deux
2021 Ronde van Vlaanderen,Sprint à deux
2022 Ronde van Vlaanderen,Sprint of small group
2023 Ronde van Vlaanderen,17 km solo
2017 Ronde van Vlaanderen,56 km solo
2018 Ronde van Vlaanderen,19 km solo
2019 Ronde van Vlaanderen,17 km solo
2023 Milano - Torino,Sprint of large group
2017 Milano - Torino,2.8 km solo
2018 Milano - Torino,1.3 km solo
2019 Milano - Torino,0.3 km solo
2020 Milano - Torino,Sprint of large group
2021 Milano - Torino,0.3 km solo
2022 Milano - Torino,Sprint of large group
2021 E3 Saxo Bank Classic,5 km solo
2022 E3 Saxo Bank Classic,Other
2017 Record Bank E3 Harelbeke,Sprint of small group
2018 Record Bank E3 Harelbeke,30 km solo
2019 E3 Binckbank Classic,Sprint of small group
2023 E3 Saxo Classic,Sprint of small group
2017 Gent-Wevelgem in Flanders Fields,Sprint à deux
2018 Gent-Wevelgem in Flanders Fields,Sprint of small group
2019 Gent-Wevelgem in Flanders Fields,Sprint of large group
2020 Gent-Wevelgem in Flanders Fields,Sprint of small group
2021 Gent-Wevelgem in Flanders Fields,Sprint of small group
2022 Gent-Wevelgem in Flanders Fields,Sprint of small group
2023 Gent-Wevelgem in Flanders Fields,Other
2023 La Flèche Wallonne,Sprint of small group
2017 La Flèche Wallonne,0.2 km solo
2018 La Flèche Wallonne,0.3 km solo
2019 La Flèche Wallonne,Sprint à deux
2020 La Flèche Wallonne,Sprint of small group
2021 La Flèche Wallonne,Sprint à deux
2022 La Flèche Wallonne,Sprint à deux
2023 Omloop Het Nieuwsblad,16.5 km solo
2017 Omloop Het Nieuwsblad,Sprint of small group
2018 Omloop Het Nieuwsblad,2.2 km solo
2019 Omloop Het Nieuwsblad,2.5 km solo
2020 Omloop Het Nieuwsblad,Sprint à deux
2021 Omloop Het Nieuwsblad,Sprint of large group
2022 Omloop Het Nieuwsblad,13 km solo
2023 Scheldeprijs,Sprint of large group
2017 Scheldeprijs,Sprint of large group
2018 Scheldeprijs,Sprint of large group
2019 Scheldeprijs,Sprint of large group
2020 Scheldeprijs,Sprint of large group
2021 Scheldeprijs,Sprint of large group
2022 Scheldeprijs,7.4 km solo
2023 De Brabantse Pijl,Sprint à deux
2022 De Brabantse Pijl,3.7 km solo
2021 De Brabantse Pijl,Sprint of small group
2020 De Brabantse Pijl,Sprint of small group
2019 De Brabantse Pijl,Sprint of small group
2018 De Brabantse Pijl,7.8 km solo
2017 De Brabantse Pijl,Sprint of small group
2017 Brussels Cycling Classic,Sprint of large group
2018 Brussels Cycling Classic,Sprint of large group
2019 Brussels Cycling Classic,Sprint of large group
2020 Brussels Cycling Classic,Sprint of large group
2021 Brussels Cycling Classic,11.3 km solo
2022 Brussels Cycling Classic,Sprint à deux
2023 Brussels Cycling Classic,Sprint of 17 riders
2017 Liege - Bastogne - Liege,Sprint of small group
2018 Liege - Bastogne - Liege,18 km solo
2019 Liege - Bastogne - Liege,13 km solo
2021 Liege - Bastogne - Liege,Sprint of small group
2022 Liege - Bastogne - Liege,14.4 km solo
2023 Liege - Bastogne - Liege,29.9 km solo
2023 Dwars door Vlaanderen,4 km solo
2017 Dwars door Vlaanderen,7.4 km solo
2018 Dwars door Vlaanderen,0.8 km solo
2019 Dwars door Vlaanderen,Sprint of small group
2021 Dwars door Vlaanderen,58 km solo
2022 Dwars door Vlaanderen,Sprint à deux
